,author,cid,text,time,search_query,video_id,word_count,char_lengh,n_avg_word,n_numerics,upper_case,time_tag,urls_tag,hash_tag,emoji_tag,polarity,subjectivity,sentiment
10,Pinki yadav,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8j3uPCGdqa9,Apne aapko jiddi bnana kyuki jid hai jit bhi hai﻿,9 months ago,howtoimproveyourself,iIpeX06xBRM,10,49,4,0,0,,,,,0,0,neutral
11,Angel Suman,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8jMeCbRUI8B,Kaam Mai Man nai lagta.﻿,9 months ago,howtoimproveyourself,iIpeX06xBRM,5,24,4,0,0,,,,,0,0,neutral
12,Ruchi Chutel,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8jayXq6RU9H,Sbb ki soonu nd Kro bss apny soch pury﻿,8 months ago,howtoimproveyourself,iIpeX06xBRM,9,39,3.444444444,0,0,,,,,0,0,neutral
13,Anuj Kumar,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8mcsrYLYP4y,@Sagar Gupta may I help you 9682494219﻿,6 months ago,howtoimproveyourself,iIpeX06xBRM,7,39,4.714285714,0,1,,,,,0,0,neutral
14,Sheetal tanwar,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8msHO5XZzjD,Aap sab h tabi m hu bahut sweet line .smart work .......👏👏👏💐💐﻿,6 months ago,howtoimproveyourself,iIpeX06xBRM,12,62,4.25,0,0,,,,👏👏👏💐💐,0.35,0.65,positive
15,From HR 31,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8n8JOodckWi,M pdai nahi krna chahta Chhod du kya﻿,6 months ago,howtoimproveyourself,iIpeX06xBRM,8,37,3.75,0,1,,,,,0,0,neutral
16,Lovely Singh,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8n8rWYQHBiK,Life ko aasan banane ke liye ye video bahut hi accha hai﻿,6 months ago,howtoimproveyourself,iIpeX06xBRM,12,57,3.833333333,0,0,,,,,0,0,neutral
17,Technical Diversity,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8oaGCgCM_97,Thanks gf ke breakup ke baad I m very sad but is Video ne. Mera mind hi badal dala bhai﻿,4 months ago,howtoimproveyourself,iIpeX06xBRM,20,88,3.45,0,1,,,,,-0.225,0.6,negative
18,Geeta Jadhav,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8onJOe4dzBo,Apne apse baat karti hu or humesha achi baato ko yaad rakhati hu or buri baato ko bhul jati hu kyuki buri baato se khud ko hi dukh hota he﻿,4 months ago,howtoimproveyourself,iIpeX06xBRM,30,139,3.666666667,0,0,,,,,0,0,neutral
19,marium bano,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8onULMva5rB,Hum apne liye jite hai hum ko Jahan see Kya﻿,4 months ago,howtoimproveyourself,iIpeX06xBRM,10,44,3.5,0,0,,,,,0,0,neutral
20,kshama vyas,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8osL1ORxrCf,ye video me sari problems ka solution hai﻿,4 months ago,howtoimproveyourself,iIpeX06xBRM,8,42,4.375,0,0,,,,,0,0,neutral
21,Rakhi Singh,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8p9dtL6766A,Dusre ke bare mai soch ke apna kal barbaad nhi kerna chahiye﻿,4 months ago,howtoimproveyourself,iIpeX06xBRM,12,61,4.166666667,0,0,,,,,0.05,0.1,positive
22,Madhu Nishad,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8q7lp_JGI-J,"hum apni life behtar bnane ke liy, 1. apni hr kam ko target bnate hai, or apne aapko chalenge krte h, hume aaj ke hi date me achieve krna h, or hum apni soch bahut badi rkhte h , my dreams in business 😊😊﻿",3 months ago,howtoimproveyourself,iIpeX06xBRM,44,204,3.659090909,0,0,,,,😊😊,0,0,neutral
23,Mohd Arwaz,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8qa9SQcSYqu,Swati Parab jfuxvvh﻿,3 months ago,howtoimproveyourself,iIpeX06xBRM,3,20,6,0,0,,,,,0,0,neutral
24,anubhav dubey,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8qjmN85hh96,NikoLogy me kese bdlu﻿,3 months ago,howtoimproveyourself,iIpeX06xBRM,4,22,4.75,0,0,,,,,0,0,neutral
25,Geeta Yadav,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8sHewjjDLwm,Kuch bhi kre to apni dil ki bat sunna chahiye na ki dusro ki .... I'm right sir Piils riplay﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,20,93,3.7,0,0,,,,,0.2857142857,0.5357142857,positive
26,Jayshri Shukla,UgwI80r_KkeR1H76McB4AaABAg.8fn768vmenK8tmxLxmM1rz,Sir mai roj apni thinking ko behtar bnati hun taki meri life aage behtar bni rahe﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,16,82,4.1875,0,0,,,,,0,0,neutral
27,Jashan singh,UgxnNDyc1438VaNQhPt4AaABAg,Hamesha khush rehna chahiye﻿,10 hours ago,howtoimproveyourself,iIpeX06xBRM,4,28,6.25,0,0,,,,,0,0,neutral
28,Prakash Dawar,Ugz1fnYNPD-iSa3mJaJ4AaABAg,healdi diat and exercise smart study﻿,1 day ago,howtoimproveyourself,iIpeX06xBRM,6,37,5.333333333,0,0,,,,,0.2142857143,0.6428571429,positive
29,keyon keyon,Ugx2XSXqjcFQZ8_aR0x4AaABAg,Jindagi ka sabse aachha motivation.... Jo sirf mere liyehi bana ho jaisa....﻿,3 days ago,howtoimproveyourself,iIpeX06xBRM,12,77,5.5,0,0,,,,,-0.5,0.5,negative
30,Sagar Wire work,Ugwxvgy4Gaf-XbaiaRZ4AaABAg,Aapni zindagi ko orr bahetarin banana ke liye orr kya krna chayiye sir ji﻿,3 days ago,howtoimproveyourself,iIpeX06xBRM,14,74,4.357142857,0,0,,,,,0,0,neutral
31,baba raj237,UgzaVzwqwa4klUGb6vF4AaABAg,Thanks so much sir Leif mai both changes Kren padegy﻿,5 days ago,howtoimproveyourself,iIpeX06xBRM,10,53,4.4,0,0,,,,,0.2,0.2,positive
32,Aditya Kolhe,UgzomZl3Lm60-StaLOh4AaABAg,Hame apane aap ko roj situation ke nusar badalana padata hai﻿,6 days ago,howtoimproveyourself,iIpeX06xBRM,11,61,4.636363636,0,0,,,,,0,0,neutral
33,science cosmos,UgwPP_uMcxLrxaGRGQB4AaABAg,Sir aap bahut jyada inspire karte hai thank you soooooooooo much﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,11,65,5,0,0,,,,,0,0,neutral
34,Mona Kumari,Ugyc9hpqaA9R3vFYp6p4AaABAg,Never trust anyone.....﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,3,24,7.333333333,0,0,,,,,0,0,neutral
35,vps gyan,Ugx9UsPeaLcZ-s9FSyt4AaABAg,Kam bolo. Meetha bolo ...dheere bolo﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,6,37,5.333333333,0,0,,,,,0,0,neutral
36,Gopalchandra Praharaj,UgyDjZD2E39jIPtdBpJ4AaABAg,Thank you so much sir for this tips ......I need such types of tips for change myself & I got it .... thank you so much 🙏🙏﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,27,123,3.592592593,0,2,,,,🙏🙏,0.1333333333,0.3,positive
37,kundan kumar dubey,Ugwp2e5mGH_zsjxBnsx4AaABAg,Nii hota h Planig roj kre to behtar hoga﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,9,41,3.666666667,0,0,,,,,0,0,neutral
38,Pushkar Lal Bhil,Ugzk8iVqRcO-G0mwcKJ4AaABAg,apne kam par dhayan dena chahiye﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,6,33,4.666666667,0,0,,,,,0,0,neutral
39,Rani patel,Ugxf73rbUQVmAY02JXt4AaABAg,Hmne ye sikha ki sab Ko khush krne ke chakarr main hm kbhi khush nhi. Rah sakte﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,17,80,3.764705882,0,0,,,,,0.1666666667,0.3333333333,positive
40,Soniya Singh,UgzysP3gUKdqnqVi_GF4AaABAg,Very nyc lines..es video ko dekhkr hum jaiso ka confidence badta.. mind fresh ho jata..aur humme josh aa jata..Thanks Hum sochte to h...but hum kr ni pate﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,27,155,4.777777778,0,0,,,,,0.25,0.4,positive
41,USHA YADAV,Ugysc1OBslIlc7Pd5Ul4AaABAg,ye video bhut aacha hai Agra aapko aacha lage to comment me﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,12,60,4.083333333,0,0,,,,,0,0,neutral
42,Pinky Gupta,UgyOm9Nr2jyqJ76Hr8d4AaABAg,Thankuuu so much sir 😊﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,5,23,3.8,0,0,,,,😊,0.2,0.2,positive
43,Kunal Gupta,UgylNFhoCuxV_MJauQh4AaABAg,Facebook or insta pa din bhar me bs 1 bar he visit kejiya nhe to wo vo chor dejiya﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,19,83,3.421052632,1,0,,,,,0,0,neutral
44,ashwini bhitre,UgzIVy7qD-t6UmWp-p94AaABAg,Girlfriend ko agar chodna hi tha to use pahle fasa ke uski life kharabe karne wale tum kaun hote ho!!!!!!!?!?😡😡😡😡😡😡😡😡😡😡 Looser!!!!!﻿,1 week ago (edited),howtoimproveyourself,iIpeX06xBRM,21,132,5.333333333,0,0,,,,😡😡😡😡😡😡😡😡😡😡,0,0,neutral
45,Chhatrapal Chauhan,UgxjPr-Dt6GCL2JwDAN4AaABAg,beautiful thinking sir ..............﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,4,38,8.75,0,0,,,,,0.85,1,positive
46,Raushni Singh,UgzkGStXVcl3VjQ8myR4AaABAg,Sir aapka silan bhut accha laga﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,6,32,4.5,0,0,,,,,0,0,neutral
47,Payal Dhaneriya,UgwOUGE9XQzcH2SREOx4AaABAg,Life ko better banane ke liye roj 2minuts apne aap se bat kare﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,13,63,3.923076923,0,0,,,,,0.5,0.5,positive
48,Payal Dhaneriya,UgzSh0pydTPdSi8a0Kx4AaABAg,Nice my favorite Chanel nikologi﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,5,33,5.8,0,0,,,,,0.55,1,positive
49,6JoDEIsattaTerik 6,UgyYmR0HLBJlhvF1IeZ4AaABAg,हेजटैक नाइस माई चैनल सट्टे चार जोडी एक नाम मेरा काम﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,11,52,3.818181818,0,0,,,,,0,0,neutral
50,JDB,UgxpZ05ldeI0Yi7gD3V4AaABAg,Thank you sir 🙏 You are Aousom as always 😎﻿,1 week ago,howtoimproveyourself,iIpeX06xBRM,10,43,3.4,0,0,,,,🙏😎,0,0,neutral
51,Kamalkant Kumar,Ugzy30QoKcl6wGp2WX14AaABAg,Very nice video sir﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,4,20,4.25,0,0,,,,,0.78,1,positive
52,sunil singh,UgxBsIfLTXDuJTPQCl94AaABAg,1.kabhi bhi khud ko glat na samjhe. 2.Kabhi bhi khud ko kisi se kamzor na samjh. 3.kabhi bhi khud K upper kisi dusre ka control na hone de. 4.Kisi K noker na bno.﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,33,163,3.96969697,0,2,,,,,0,0,neutral
53,BABLU DHARI,Ugwihb-UujVNl-NJG0N4AaABAg,Number 1 plan 📝mast﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,4,20,4.25,1,0,,,,📝,0,0,neutral
54,How To Do?,Ugy9nWI1lPCSLDkubv14AaABAg,Life me gratitude rakhna sikhe kabhi dukhi nahi banoge﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,9,55,5.222222222,0,0,,,,,0,0,neutral
55,How To Do?,UgynHYsxtSONPgPgdwp4AaABAg,If we can explain our business in single line we can grow it.....I learn this﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,15,78,4.266666667,0,0,,,,,-0.07142857143,0.2142857143,negative
56,Shalu Gupta,Ugz5KosRxC_80LPZNtN4AaABAg,Thanks..I need this this tym﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,5,29,5,0,0,,,,,0,0,neutral
57,Shibani Toppo,Ugw6jbcxZfIiqedm8eR4AaABAg,Very nice....every one should do this .....﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,7,44,5.428571429,0,0,,,,,0.2,0.3,positive
58,Jayshri Shukla,UgyvN-wrmNpWxm0fPPt4AaABAg,Very nice sir... but sir ek qus hai mera ki fmly sbkuchh hoti hai but agr fmly hi sath chhod de to kya krna chahiye becos sir lakh motivation se bhi fmly ki yaad hmesa bni rahti hai or wo aage badhne me dikkat kr rahi hai﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,47,222,3.744680851,0,0,,,,,0.78,1,positive
59,Mayuri Bhivase,Ugzptw08b2r0tQcyu614AaABAg,Very nice tips sir👍👍﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,4,21,4.5,0,0,,,,👍👍,0.78,1,positive
60,Bijay Oraon,UgxLWWK8UNBgev6VWNN4AaABAg,Keep on making this type of videos﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,7,35,4.142857143,0,0,,,,,0,0,neutral
61,Bijay Oraon,Ugwi9zGOWJUs5fJIIG14AaABAg,Super bb ..Mai bahot kuch seekha aur es baato ko mai apne jeevan me apnaaanee ki kosis karungaa﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,18,96,4.388888889,0,0,,,,,0.3333333333,0.6666666667,positive
62,Balkishor Marandi,Ugyn_vrh0EahDTVIeWZ4AaABAg,Kisi k bharosha nahi rhna kyoki jindgi aapne liye jena na ki dusre k liye﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,15,74,4,0,0,,,,,0,0,neutral
63,Sunil Kumar,Ugynoi0yZIqyqPIuv5R4AaABAg,Sir bahut sari problems ko dur ker diya thanks﻿,2 weeks ago,howtoimproveyourself,iIpeX06xBRM,9,47,4.333333333,0,0,,,,,0,0,neutral
64,RVj Vivek,UgylaG9beJA5tLCXpgF4AaABAg,"Ase logo se salaha Matt lo, jo sirf bateye Bataye success ke, aur kud zero Batta gull ho......﻿",3 weeks ago,howtoimproveyourself,iIpeX06xBRM,18,95,4.333333333,0,0,,,,,0.3,0,positive
65,Riya Beniwal,UgyfJosrPfRuSEsRmLh4AaABAg,Last 16 ponit best👍👍👍﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,4,22,4.75,1,0,,,,👍👍👍,0,0.06666666667,neutral
66,Rahul Kumar,UgywRN5_9aS6858j4nF4AaABAg,Nice pic my 📱 the best﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,6,23,3,0,0,,,,📱,0.6,1,positive
67,Sikha Yadav,UgwZQ9wTpiKha31KAqR4AaABAg,Nomber 16 is good line sir﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,6,27,3.666666667,1,0,,,,,0.7,0.6,positive
68,putankumar sitapurup,UgyW3NiBiHuHvU4Fgu14AaABAg,Kam bole our adhik sune﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,5,24,4,0,0,,,,,0,0,neutral
69,Jyostnamangari Baliarsingh,UgxEjbFRlXk6lUQtER14AaABAg,Bheya apne jovi bola yeto akdam sahi baat hai. Mujhe yesi strategy bahathi pasand hai. Me vi yesi hun sochtihun﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,20,112,4.65,0,0,,,,,0,0,neutral
70,Bhavisha Chudagar,UgzCrVPZmc-AEIDHjiZ4AaABAg,Aj she me jin logo ko pasand nahi karti usko unflow kar denge﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,13,62,3.846153846,0,0,,,,,0,0,neutral
71,vyas gaurav,UgyOD0mDH-3AeoFo0654AaABAg,"Khudke bhure aur achhe experiance se hamsea sikha na chaye. 2, bolne se pele sochana chaye﻿",3 weeks ago,howtoimproveyourself,iIpeX06xBRM,16,91,4.75,0,0,,,,,0,0,neutral
72,Sandip Sonagra,UgwWt0UoqHbQp5x0s294AaABAg,Ap kabhi bhi dusroka bira na socho﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,7,35,4.142857143,0,0,,,,,0,0,neutral
73,Sandip Sonagra,UgwlrfGBAbI7nTOzIDp4AaABAg,Apni life me Daly ek asha kam kre﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,8,34,3.375,0,0,,,,,0,0,neutral
74,funny vedioes,Ugz1wMO_xPbXOni_ihB4AaABAg,Beutifull vedio sir.﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,3,21,6.333333333,0,0,,,,,0,0,neutral
75,AVTAR SINGH,UgxL7y46G_zIEYnWHOV4AaABAg,Aap ki achhi KOSIS hai...SEARE kro﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,6,35,5,0,1,,,,,0,0,neutral
76,lovely kumari,UgyOa8QSOF_EtNfkupd4AaABAg,Bahut achha but family ke sath rah ke kuchh karne ki parmison nahi milta hai﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,15,77,4.2,0,0,,,,,0,0,neutral
77,all-rounder telivision rishabh gupta,Ugw-Puem5aVBKIrBYJR4AaABAg,Thank you soooo much my fev last wala﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,8,38,3.875,0,0,,,,,0.1,0.1333333333,positive
78,DAYANAND KUMAR,Ugx_O1ziCsH1jdthYuJ4AaABAg,जीवन में कभी भी किसी पर आश्रित मत रहना जितना हो सके खुद करना खुश रहने का यही एक मात्र साधन है।﻿,3 weeks ago (edited),howtoimproveyourself,iIpeX06xBRM,22,95,3.363636364,0,0,,,,,0,0,neutral
79,Shubham Pande,Ugxl13-TOLmMQ12NaUB4AaABAg,I agree in3rd solution﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,4,23,5,0,1,,,,,0,0,neutral
80,Abdul Rawoof,UgwCmMRFeyxMdXTWm2d4AaABAg,Sir I'm only 30 I feel very old and feeling very bad for negatives things what will I do 🤦‍♀️🙆‍♀️🤲😞😩🤒🤔🤔🤔﻿,3 weeks ago,howtoimproveyourself,iIpeX06xBRM,20,105,4.3,1,2,,,,🤦♀🙆♀🤲😞😩🤒🤔🤔🤔,-0.26,0.7088888889,negative
81,kajal rajput,UgxbrZxlnsnEpKwTdb54AaABAg,but kabhi kabhi kuch chhoda na bhuto muskil hojata hai yr yeh vo hi janta hai jisa par guzri hoti hai﻿,4 weeks ago,howtoimproveyourself,iIpeX06xBRM,21,102,3.904761905,0,0,,,,,0,0,neutral
82,Tanya gautam Gautam,UgyJ8aGjMcNvumWXj-54AaABAg,Hame hamesha upper se soft aur ander se strong hona chahiye because aj kal log soft nature wale issan ko like karte h.﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,23,119,4.217391304,0,0,,,,,0.1583333333,0.3583333333,positive
83,Mukesh Chaure,Ugzf4q9kgnpZL9y9I3h4AaABAg,I love you sir meri problem dur ho gya 1 min me﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,12,48,3.083333333,1,1,,,,,0.5,0.6,positive
84,Amisha Dangi,Ugwt3wZ6DKDe-h7_SuR4AaABAg,I have a some question for you agr aap apna time west nhi krte ho to ye video kb banate ho kya ye aapka job yahi h﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,27,115,3.296296296,0,1,,,,,0,0,neutral
85,Shameem Razzak,Ugwt3wZ6DKDe-h7_SuR4AaABAg.8tIaGPVOgP58tLYu_gbcKN,He is sharing his valuable advice to others by waisting his precious time.﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,13,75,4.846153846,0,0,,,,,0.5,1,positive
86,Ali Mohammad,UgwhslF9RLJkelYbW3B4AaABAg,zindagi m hamesha aise logo se dosti rakho jis ka dil chere se zayeda khubsurat ho💓﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,16,84,4.3125,0,0,,,,💓,0,0,neutral
87,Ali Mohammad,UgyqSu4JhWSgm0lYOzx4AaABAg,number 16 mai apne zindagi m kiya hu﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,8,37,3.75,1,0,,,,,0,0,neutral
88,JYOTI GOEL,Ugxd4azvHcmPvRBcLi54AaABAg,Trust kre over trust ni﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,5,24,4,0,0,,,,,0,0,neutral
89,Kavita Balram Sahu,UgxNbqpt_LobBVEEONF4AaABAg,nice line for betr life thanku sir﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,7,35,4.142857143,0,0,,,,,0.6,1,positive
90,Udit jain,UgwitIBryEPww1nanLF4AaABAg,Sir bahut acchi vedio thi﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,5,26,4.4,0,0,,,,,0,0,neutral
91,srb films,UgxjycIAl_PJ__zNOuB4AaABAg,Sir mai ak Chota sa tesanry shop chalte hoo . Mughe Jim jana helthi diet lena roj naye kapre pahna bahut pasand hai mughe ak model ki tarha Jina Chata hoo mai branded life styal Chata hoo par paise nahi hai﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,41,207,4.073170732,0,0,,,,,0,0,neutral
92,SEJAL QUIN,Ugyh1CpfoyD2abss5eZ4AaABAg,isme vedio me bhot c baate mari life me hoti h jin logo ko m psan nhi krti pr mjburi me bolna pdta h ye bhot bdi presani h mari life me﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,32,136,3.28125,0,0,,,,,0,0,neutral
93,Sanjukta Behera,Ugy3P9kbKT6uSWr4bUJ4AaABAg,You are correct bro.. No 💡 how long﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,8,36,3.625,0,0,,,,💡,0,0,neutral
94,Annie Norgay,UgxArmEv_EFsd5bHHt54AaABAg,I like and thanks 🐶﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,5,20,3.2,0,1,,,,🐶,0.2,0.2,positive
95,INDIRA CHOUDHARY,UgxNO8XkxTA--ihzYIx4AaABAg,The better Tq sir ji is vedeo se bahut kuch sikha hmne﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,12,55,3.666666667,0,0,,,,,0.5,0.5,positive
96,Azeema Khan,Ugz295nVUPYx_wY5ieZ4AaABAg,Apke wajha se lifestyle ho gay g﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,7,33,3.857142857,0,0,,,,,0.4166666667,0.5833333333,positive
97,afrin shaikh,UgynGyGvZoKNJNRSHW54AaABAg,Hum jitna bi koshish karte hae sab ko khush karne ka lekin vo hunko aur zyada hi talif me dalte hae bula bala kehte hae aisa kyu hota hae?﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,29,139,3.827586207,0,0,,,,,0,0,neutral
98,jitandr gupta,UgwJlpbnSzQJfcJiyYJ4AaABAg,सेक्स को खत्म करना चाहिए jitandr Gupta﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,7,39,4.714285714,0,0,,,,,0,0,neutral
99,Manoj Tyagi,UgxW6mJtdDqOo5lmvuh4AaABAg,Nice sir ji Ya video life banana me jabadast h﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,10,47,3.8,0,0,,,,,0.6,1,positive
100,Sky Storyline,UgzEgm9hM_uYMIbYN6Z4AaABAg,"#Skystoryline बहुत अच्छी विडियो........ motivational, spiritual, प्रेरणादायी और ज्ञानवर्धक video के लिए #skystoryline पर जाये ।﻿",1 month ago,howtoimproveyourself,iIpeX06xBRM,16,128,7.0625,0,0,,,#Skystoryline,,0,0.1333333333,neutral
101,Sky Storyline,UgyLSmPNMyUkN-2b6jt4AaABAg,"#Skystoryline बहुत अच्छी विडियो........ motivational, spiritual, प्रेरणादायी और ज्ञानवर्धक video के लिए #skystoryline पर जाये ।﻿",1 month ago,howtoimproveyourself,iIpeX06xBRM,16,128,7.0625,0,0,,,#Skystoryline,,0,0.1333333333,neutral
102,Shatruhan Kaiwartya,Ugz_uWkc05a-ZgQK75x4AaABAg,Mujhe aisa videos pasand hai-supup﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,5,35,6.2,0,0,,,,,0,0,neutral
103,invisible love,UgyR9VdospFyomadG8N4AaABAg,Apne app se pyar karna chiye﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,6,29,4,0,0,,,,,0,0,neutral
104,Tejaswini Thakur,UgwByOwO-c3jTjXEo8h4AaABAg,Nice video.. Thx sir..for this tips🙏life mein kisi insans se dur jana ho lekin use khona bhi nhi chahate....To kya karna chahiye sir plss batana??﻿,1 month ago,howtoimproveyourself,iIpeX06xBRM,25,147,4.92,0,0,,,,🙏,0.6,1,positive
